RBC,PO2,HBsat
O2transport_init, 4.9e15, 1.1467116e-03, 7.6364383e-01
co2transport_init, 0.05004034, 0.02960993, 0.78838485, 0.09752594, 0.04786631

type,ID,name,start_node,end_node,start_diameter[SI],end_diameter[SI],start_thickness[SI],end_thickness[SI],length[SI],division_points,elastance_1[SI],res_start[SI],res_end[SI],visc_fact[1],k1[SI],k2[SI],k3[SI]
vis_f,181,R.ext.iliacv.,n23,n21,0.01,0.01,0.001,0.001,0.144,11,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,182,L.ext.iliacv.,n22,n20,0.01,0.01,0.001,0.001,0.144,11,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,183,L.int.iliacv.,p11,n20,0.003,0.003,0.0003,0.0003,0.05,6,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,184,R.int.iliacv.,p7,n21,0.003,0.003,0.0003,0.0003,0.05,6,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,185,R.com.iliacv.,n21,n19,0.0115,0.0115,0.00115,0.00115,0.02,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,186,L.com.iliacv.,n20,n18,0.0115,0.0115,0.00115,0.00115,0.02,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,187,R.radialv.,p4,n9,0.004,0.004,0.0004,0.0004,0.406,24,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,188,L.interosseousv.,p5,n11,0.002,0.002,0.0002,0.0002,0.07,7,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,189,R.ulnarv.,p6,n11,0.004,0.004,0.0004,0.0004,0.306,19,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,190,L.ulnarv.,p15,n12,0.004,0.004,0.0004,0.0004,0.306,19,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,191,L.interosseousv.,p16,n12,0.002,0.002,0.0002,0.0002,0.07,7,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,192,L.radialv.,p17,n10,0.004,0.004,0.0004,0.0004,0.406,24,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,193,L.subclavianv.,n9,n7,0.0104,0.0104,0.00104,0.00104,0.27,17,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,194,R.subclavianv.,n10,n8,0.0104,0.0104,0.00104,0.00104,0.27,17,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,195,L.subclavianv.,n7,n5,0.0104,0.0104,0.00104,0.00104,0.03,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,196,R.subclavianv.,n8,n6,0.0104,0.0104,0.00104,0.00104,0.03,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,197,L.ulnarv.,n12,n10,0.004,0.004,0.0004,0.0004,0.1,9,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,198,Inf.venacava,n13,H,0.01525,0.01525,0.001525,0.001525,0.153,11,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,199,Hepaticv.,n103,n13,0.0097,0.0097,0.00097,0.00097,0.02267,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,200,Inf.venacava,n14,n13,0.01525,0.01525,0.001525,0.001525,0.015,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,201,inf.venacava,n15,n14,0.01525,0.01525,0.001525,0.001525,0.015,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,202,Inf.venacava,n16,n15,0.01525,0.01525,0.001525,0.001525,0.125,10,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,203,Inf.venacava,n17,n16,0.01525,0.01525,0.001525,0.001525,0.08,8,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,204,R.com.iliacv.,n19,n17,0.0115,0.0115,0.00115,0.00115,0.038,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,205,L.com.iliacv.,n18,n17,0.0115,0.0115,0.00115,0.00115,0.038,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,206,R.ulnarv.,n11,n9,0.004,0.004,0.0004,0.0004,0.1,9,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,207,L.renalv.,p21,n14,0.005,0.005,0.0005,0.0005,0.032,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,208,R.renalv.,p23,n15,0.005,0.005,0.0005,0.0005,0.032,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,209,Ascendinglumbarv.,n39,n19,0.004,0.004,0.0004,0.0004,0.23,15,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,210,hemiazygosv.,n39,n18,0.0056,0.0056,0.00056,0.00056,0.23,15,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,211,Inf.mesentericv.,p24,n16,0.009,0.009,0.0009,0.0009,0.06,6,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,212,R.post.tibialv.,n37,n33,0.003,0.003,0.0003,0.0003,0.173,12,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,213,R.ant.tibialv.,n35,n33,0.003,0.003,0.0003,0.0003,0.16,12,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,214,R.ant.tibialv.,p9,n29,0.012,0.012,0.0012,0.0012,0.02,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,215,L.ant.tibialv.,p14,n28,0.012,0.012,0.0012,0.0012,0.02,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,216,R.lumbarv.,n38,n19,0.002,0.002,0.0002,0.0002,0.038,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,217,L.lumbarv.,n38,n18,0.002,0.002,0.0002,0.0002,0.038,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,218,R.sup.thyroidv.,n45,n71,0.003,0.003,0.0003,0.0003,0.04,6,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,219,L.sup.thyroidv.,n46,n71,0.003,0.003,0.0003,0.0003,0.04,6,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,220,R.mid.thyroidv.,n71,n43,0.002,0.002,0.0002,0.0002,0.03,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,221,L.mid.thyroidv.,n71,n44,0.002,0.002,0.0002,0.0002,0.03,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,222,Inf.thyroidv.,n71,n2,0.00252,0.00252,0.000252,0.000252,0.07,7,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,224,R.int.jugularv.,n45,n43,0.00714,0.00714,0.000714,0.000714,0.03,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,225,L.int.jugularv.,n46,n44,0.01128,0.01128,0.001128,0.001128,0.03,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,226,R.int.jugularv.,n47,n45,0.00504,0.00714,0.000504,0.000714,0.027,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,227,L.int.jugularv.,n48,n46,0.01128,0.01128,0.001128,0.001128,0.027,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,228,R.int.jugularv.,n49,n47,0.00504,0.00504,0.000504,0.000504,0.068,7,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,229,L.int.jugularv.,n50,n48,0.00798,0.01128,0.000798,0.001128,0.068,7,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,230,R.sigmoidsinus,n51,n49,0.00504,0.00504,0.000504,0.000504,0.015,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,231,L.sigmoidsinus,n52 ,n50,0.00756,0.00798,0.000756,0.000798,0.015,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
