data of edges
type,name,node start,node end,initial condition,parameter [SI],parameter [SI]

Common carotid dextra
Ascending aorta 2
resistor,R_ASC2,n1,n2,0.00E+00,6.34E+03
capacitor,C_ASC2,g1,n1,0.00E+00,5.92E-10

Aortic arch A
resistor,R_AAA,n2,n3,0.00E+00,7.11E+03
capacitor,C_AAA,g1,n2,0.00E+00,2.23E-10

Aortic arch B
resistor,R_AAB,n3,n4,0.00E+00,2.54E+04
capacitor,C_AAB,g1,n3,0.00E+00,2.97E-10

Brachiocephalic
resistor,R_BRAC,n2,n6,0.00E+00,3.33E+04
capacitor,C_BRAC,g1,n2,0.00E+00,2.02E-10

Subclavian A dextra
resistor,R_SUBAD,n6,n7,0.00E+00,4.18E+05
capacitor,C_SUBAD,g1,n6,0.00E+00,4.18E-11

Subclavian A sinistra
resistor,R_SUBAS,n4,n10,0.00E+00,5.13E+05
capacitor,C_SUBAS,g1,n4,0.00E+00,3.68E-11

Periphery_25
resistor,R_PE25,p25,p2500250,0.00E+00,1.89E+10
inductor,L_PE25,p2500250,g250,0.00E+00,3.78E+08
capacitor,C_PE25,g1,p25,0.00E+00,2.16E-10

Periphery_26
resistor,R_PE26,p26,p2600260,0.00E+00,1.57E+10
inductor,L_PE26,p2600260,g260,0.00E+00,3.15E+08
capacitor,C_PE26,g1,p26,0.00E+00,2.59E-10

Periphery_27
resistor,R_PE27,p27,p2700270,0.00E+00,1.57E+10
inductor,L_PE27,p2700270,g270,0.00E+00,3.15E+08
capacitor,C_PE27,g1,p27,0.00E+00,2.59E-10

Periphery_28
resistor,R_PE28,p28,p2800280,0.00E+00,1.57E+10
inductor,L_PE28,p2800280,g280,0.00E+00,3.15E+08
capacitor,C_PE28,g1,p28,0.00E+00,2.59E-10

Periphery_29
resistor,R_PE29,p29,p2900290,0.00E+00,6.29E+09
inductor,L_PE29,p2900290,g290,0.00E+00,1.26E+08
capacitor,C_PE29,g1,p29,0.00E+00,6.48E-10

Periphery_30
resistor,R_PE30,p30,p3000300,0.00E+00,6.29E+09
inductor,L_PE30,p3000300,g300,0.00E+00,1.26E+08
capacitor,C_PE30,g1,p30,0.00E+00,6.48E-10

Periphery_31
resistor,R_PE31,p31,p3100310,0.00E+00,6.73E+09
inductor,L_PE31,p3100310,g310,0.00E+00,1.35E+08
capacitor,C_PE31,g1,p31,0.00E+00,6.05E-10

Periphery_32
resistor,R_PE32,p32,p3200320,0.00E+00,1.68E+10
inductor,L_PE32,p3200320,g320,0.00E+00,3.37E+08
capacitor,C_PE32,g1,p32,0.00E+00,2.43E-10

Periphery_33
resistor,R_PE33,p33,p3300330,0.00E+00,6.73E+09
inductor,L_PE33,p3300330,g330,0.00E+00,1.35E+08
capacitor,C_PE33,g1,p33,0.00E+00,6.05E-10

Periphery_34
resistor,R_PE34,p34,p3400340,0.00E+00,1.68E+10
inductor,L_PE34,p3400340,g340,0.00E+00,3.37E+08
capacitor,C_PE34,g1,p34,0.00E+00,2.43E-10

Periphery_35
resistor,R_PE35,p35,p3500350,0.00E+00,1.68E+10
inductor,L_PE35,p3500350,g350,0.00E+00,3.37E+08
capacitor,C_PE35,g1,p35,0.00E+00,2.43E-10

Periphery_36
resistor,R_PE36,p36,p3600360,0.00E+00,6.73E+09
inductor,L_PE36,p3600360,g360,0.00E+00,1.35E+08
capacitor,C_PE36,g1,p36,0.00E+00,6.05E-10

Periphery_37
resistor,R_PE37,p37,p3700370,0.00E+00,1.68E+10
inductor,L_PE37,p3700370,g370,0.00E+00,3.37E+08
capacitor,C_PE37,g1,p37,0.00E+00,2.43E-10

Periphery_38
resistor,R_PE38,p38,p3800380,0.00E+00,6.73E+09
inductor,L_PE38,p3800380,g380,0.00E+00,1.35E+08
capacitor,C_PE38,g1,p38,0.00E+00,6.05E-10

Periphery_39
resistor,R_PE39,p39,p3900390,0.00E+00,6.29E+09
inductor,L_PE39,p3900390,g390,0.00E+00,1.26E+08
capacitor,C_PE39,g1,p39,0.00E+00,6.48E-10

Periphery_40
resistor,R_PE40,p40,p4000400,0.00E+00,6.29E+09
inductor,L_PE40,p4000400,g400,0.00E+00,1.26E+08
capacitor,C_PE40,g1,p40,0.00E+00,6.48E-10

Periphery_41
resistor,R_PE41,p41,p4100410,0.00E+00,1.57E+10
inductor,L_PE41,p4100410,g410,0.00E+00,3.15E+08
capacitor,C_PE41,g1,p41,0.00E+00,2.59E-10

Periphery_42
resistor,R_PE42,p42,p4200420,0.00E+00,1.57E+10
inductor,L_PE42,p4200420,g420,0.00E+00,3.15E+08
capacitor,C_PE42,g1,p42,0.00E+00,2.59E-10

Periphery_43
resistor,R_PE43,p43,p4300430,0.00E+00,1.57E+10
inductor,L_PE43,p4300430,g430,0.00E+00,3.15E+08
capacitor,C_PE43,g1,p43,0.00E+00,2.59E-10

Periphery_44
resistor,R_PE44,p44,p4400440,0.00E+00,1.89E+10
inductor,L_PE44,p4400440,g440,0.00E+00,3.78E+08
capacitor,C_PE44,g1,p44,0.00E+00,2.16E-10

Periphery_45
resistor,R_PE45,p45,p4500450,0.00E+00,1.26E+10
inductor,L_PE45,p4500450,g450,0.00E+00,2.52E+08
capacitor,C_PE45,g1,p45,0.00E+00,3.24E-10

Periphery_46
resistor,R_PE46,p46,p4600460,0.00E+00,1.26E+10
inductor,L_PE46,p4600460,g460,0.00E+00,2.52E+08
capacitor,C_PE46,g1,p46,0.00E+00,3.24E-10

Arota pars descendens periphery
resistor,R_APDP,n4,n4004,0.00E+00,2.08E+08
inductor,L_APDP,n4004,g4,0.00E+00,2.09E+06
capacitor,C_APDP,g1,n4,0.00E+00,1.96E-09

Subclavian dextra periphery
resistor,R_SDP,n7,n7007,0.00E+00,3.22E+09
inductor,L_SDP,n7007,g7,0.00E+00,3.23E+07
capacitor,C_SDP,g1,n7,0.00E+00,3.54E-09

Subclavian sinistra periphery
resistor,R_SSP,n10,n100010,0.00E+00,3.22E+09
inductor,L_SSP,n100010,g10,0.00E+00,3.23E+07
capacitor,C_SSP,g1,n10,0.00E+00,3.54E-09

Right Atrium
voltage, V_ra, g, p_RA1, 0.000e+00, 8.0e+02
inductor, L_ra, p_RA1, p_RA2, 0.000e+00, 5.000e+4
diode, R_ra, p_RA2, p_RA3, 0.000e+00, 1.000e+06

Right Ventrice
elastance, E_rv, g2, p_RA3, 0.000e+00, 6.67e+07, 8.0e+06
inductor, L_rv, p_RA3, p_RV1, 0.000e+00, 2.50e+04
diode, R_rv, p_RV1, p_RV2, 0.000e+00, 2.000e+06

P
resistor, R_pa, p_RV2, p_LA1, 0.000e+00, 1.2e+07
capacitor, C_pa, g, p_RV2, 0.000e+00, 3.0e-08

Left Atrium
capacitor, E_la, g3, p_LA1, 0.000e+00, 3.60e-08
inductor, L_la, p_LA1, p_LA2, 0.000e+00, 1.00e+04
diode, R_la, p_LA2, p_LA3, 0.000e+00, 5.000e+05

Left Ventrice
elastance,E_lv,g0,p_LA3,0.00E+00,2.67E+08,8.00E+06
inductor,L_lv_aorta,p_LA3,p_LV1,0.00E+00,6.50E+04
